ItemID,Categoria,Subcategoria,Nome,Sinonimos,UsoPratico,Modalidade,Variaveis,FormulaTexto,FormulaLaTeX,CutoffsInterpretacao,TecnicaMedida,Limitacoes,NivelAdocao,FontePrimaria,LinkRadiopaedia,OutrasFontes,Status
ABD-0016,C - Abdome,C5 - Vesícula/Vias Biliares,Bile Duct Diameter,Common bile duct; CBD; diâmetro ducto biliar,Avaliar dilatação ductal biliar. Diâmetro >6 mm sugere obstrução.,US; TC; RM,Diâmetro ducto biliar comum (mm),Medição simples diâmetro CBD,d_{CBD} = \text{diâmetro máximo},<3 mm: normal; 3-6 mm: borderline; >6 mm: dilatado (obstrução provável).,Medir eixo transversal maior diâmetro CBD proximal. Evitar confluência hepática.,Pode variar pós-colecistectomia; afetado por posicionamento; operador-dependente.,R,Laing FC et al. Ultrasound evaluation common bile duct diameter. Radiology. 1981;139(1):161-165.,https://radiopaedia.org/articles/common-bile-duct,Valores variam com idade e pós-colecistectomia.,OK
ABD-0017,C - Abdome,C5 - Vesícula/Vias Biliares,Gallbladder Wall Thickness,GB wall; parede vesicular; espessura parede,Avaliar colecistite aguda. Espessura >3 mm sugere inflamação.,US; TC,"Espessura parede vesicular (mm), sinal Murphy ultrassonográfico",Medição simples espessura parede,t_{wall} = \text{espessura máxima parede},"<3 mm: normal; 3-4 mm: borderline; >4 mm: colecistite provável. Considerar sinal Murphy.",Medir parede anterior vesicular eixo transversal. Evitar sombra acústica.,Pode estar espessada em outras condições (hepatite cirrose); operador-dependente.,R,Ralls PW et al. Sonographic anatomy gallbladder. AJR. 1982;139(1):75-79.,https://radiopaedia.org/articles/acute-cholecystitis,Sinal Murphy sonográfico complementar.,OK
ABD-0018,C - Abdome,C5 - Vesícula/Vias Biliares,Hepatic Steatosis Ultrasound,Fatty liver; hepatic steatosis US; bright liver,Quantificar esteatose hepática por US. Grau 1-3 baseado em ecogenicidade.,US,Ecogenicidade relativa fígado/rim/baço (qualitativa),Classificação baseada em ecogenicidade,\text{Grau} = f(\text{ecogenicidade fígado vs rim/baço}),Grau 0: normal; Grau 1: leve (fígado >rim); Grau 2: moderado (fígado >>rim); Grau 3: grave (fígado >>>rim).,US tempo real comparação ecogenicidade fígado vs rim/baço. ROI parênquima hepático.,Qualitativa; operador-dependente; afetado por ganho; menos acurado que TC/RM.,S,Hamaguchi M et al. Ultrasound findings NAFLD. AJR. 2007;188(6):1490-1496.,https://radiopaedia.org/articles/diffuse-hepatic-steatosis,Alternativa quantitativa: hepatorenal index.,OK
ABD-0019,C - Abdome,C5 - Vesícula/Vias Biliares,Pancreatic Echogenicity,Pancreatic echotexture; pancreatic echo; parênquima pancreático,Avaliar fibrose pancreática crônica. Ecogenicidade aumentada sugere fibrose.,US,Ecogenicidade pâncreas vs fígado (qualitativa),Classificação baseada em ecogenicidade,\text{Ecogenicidade} = f(\text{pâncreas vs fígado}),Normal: pâncreas <fígado; Leve fibrose: pâncreas =fígado; Moderada: pâncreas >fígado; Grave: pâncreas >>fígado.,US tempo real comparação ecogenicidade pâncreas vs fígado. ROI parênquima pancreático corpo/cauda.,Qualitativa; operador-dependente; afetado por ganho; variação inter-observador.,S,Garg PK et al. Pancreatic echogenicity chronic pancreatitis. Pancreatology. 2006;6(4):334-341.,https://radiopaedia.org/articles/chronic-pancreatitis,Correlação com função pancreática.,OK
ABD-0020,C - Abdome,C6 - Retroperitônio,Psoas Muscle Index,Psoas area; muscle mass; sarcopenia,Avaliar sarcopenia. Índice baixo associado a pior prognóstico em câncer.,TC,"Área psoas (cm²), altura (m)",PMI (cm²/m²) = área psoas / altura²,PMI = \frac{\text{área psoas}}{h^2},"Homem: <43 cm²/m² baixa massa; Mulher: <41 cm²/m² baixa massa. Cutoff varia por população.",Medir área psoas nível L3 TC axial. Usar software segmentação ou planimetria manual.,Afetado por posicionamento; variação inter-observador; cutoffs populacionais.,S,Prado CM et al. Prevalence sarcopenia cancer. J Cachexia Sarcopenia Muscle. 2015;6(1):9-17.,https://radiopaedia.org/articles/psoas-muscle-index,Alternativa: visceral fat index.,OK
ABD-0021,C - Abdome,C6 - Retroperitônio,Visceral Fat Area,VFA; visceral adiposity; visceral fat index,Avaliar adiposidade visceral. VFA elevada associada a síndrome metabólica.,TC,"Área gordura visceral (cm²), altura (m)",VFI (cm²/m²) = área gordura visceral / altura²,VFI = \frac{\text{área visceral}}{h^2},"Normal: <100 cm²; 100-150 cm² borderline; >150 cm² aumentada. Cutoff varia por sexo/população.",Medir área gordura visceral nível L3 TC axial. Usar threshold HU -150 a -50.,Afetado por posicionamento; requer software especializado; variação inter-observador.,S,Kvist H et al. Total and visceral adipose-tissue volumes. Am J Clin Nutr. 1988;48(5):1351-1361.,https://radiopaedia.org/articles/visceral-fat-area,Correlação com síndrome metabólica.,OK
ABD-0022,C - Abdome,C6 - Retroperitônio,Abdominal Aorta Calcification Score,AAC; aortic calcification; vascular calcification,Quantificar calcificação aórtica. AAC elevado prediz risco cardiovascular.,TC,"Área calcificação aórtica (mm²), comprimento aorta (mm)",AAC score = soma áreas calcificação / comprimento aorta,AAC = \frac{\sum \text{área calcificação}}{L_{aorta}},"0: sem; 1-100: leve; 101-300: moderado; >300: grave. Prediz risco cardiovascular.",TC baixa dose nível L1-L4. Segmentação manual/automática calcificação aórtica.,Requer software especializado; variação inter-observador; afetado por técnica TC.,S,Kauppila LI et al. New indices quantify calcific aortic atherosclerosis. Arterioscler Thromb Vasc Biol. 1994;14(7):1080-1087.,https://radiopaedia.org/articles/abdominal-aortic-calcification,Marcador de aterosclerose sistêmica.,OK
ABD-0023,C - Abdome,C7 - Intestino,Bowel Wall Thickness,Intestinal wall; wall thickness; parede intestinal,Avaliar inflamação/espessamento intestinal. Espessura >3 mm sugere patologia.,US; TC,"Espessura parede intestinal (mm), localização",Medição simples espessura parede,t_{wall} = \text{espessura máxima parede},"<2 mm: normal; 2-3 mm: borderline; >3 mm: espessamento (inflamação/malignidade).",Medir parede intestinal eixo transversal. Comparar com segmentos normais. TC com contraste.,Afetado por contração; pode variar com hidratação; operador-dependente.,S,Hara AK et al. Crohn disease: CT findings. AJR. 2005;184(6):1829-1835.,https://radiopaedia.org/articles/bowel-wall-thickening,Correlação com sintomas clínicos.,OK
ABD-0024,C - Abdome,C7 - Intestino,Mesenteric Fat Stranding,Mesenteric inflammation; fat stranding; mesentério,Avaliar inflamação mesentérica. Stranding sugere inflamação/isquemia.,TC,Densidade gordura mesentérica (HU); extensão stranding,Classificação baseada em padrão,\text{Stranding} = f(\text{padrão inflamação}),"Ausente: normal; Leve: stranding focal; Moderado: stranding regional; Grave: stranding difuso.",TC com contraste fase portal. Avaliar densidade gordura mesentérica e padrão stranding.,Pode ocorrer em outras condições; afetado por técnica TC; variação inter-observador.,S,Hara AK et al. CT findings mesenteric ischemia. AJR. 2009;192(2):408-416.,https://radiopaedia.org/articles/mesenteric-ischaemia,Correlação com sintomas isquemia mesentérica.,OK
PEL-0001,I - Pelve,I1 - Próstata,Prostate PSA Density,PSA density; PSAD; PSA/volume,Estratificar risco câncer próstata. PSAD >0.15 sugere malignidade.,Clínico (com RM),"PSA (ng/mL), volume próstata (mL)",PSAD (ng/mL/mL) = PSA / volume próstata,PSAD = \frac{PSA}{V_{próstata}},<0.10: baixo risco; 0.10-0.15: intermediário; >0.15: alto risco câncer.,RM T2 segmentação volume próstata. PSA sérico laboratorial.,Afetado por prostatite; pode variar com volume próstata; cutoff varia por população.,R,Karakiewicz PI et al. Prognostic role PSA density. Eur Urol. 2007;51(2):352-359.,https://radiopaedia.org/articles/prostate-specific-antigen,Complemento PI-RADS.,OK
